epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.8941,0.24955,0.99213,1,0.02259,0.000550272,0.000550272,0.000550272
2,63.3571,0.19138,1,1,0.01435,0.00108404,0.00108404,0.00108404
3,87.8703,0.17108,0.85827,1,0.31741,0.00159581,0.00159581,0.00159581
4,112.312,0.12831,0.98425,1,0.03721,0.00156798,0.00156798,0.00156798
5,136.722,0.1407,0.97638,1,0.0643,0.00153497,0.00153497,0.00153497
6,161.079,0.12779,0.98031,1,0.0364,0.00150197,0.00150197,0.00150197
7,185.481,0.12805,0.99213,1,0.04112,0.00146896,0.00146896,0.00146896
8,210.165,0.09762,0.97638,1,0.05719,0.00143595,0.00143595,0.00143595
9,234.573,0.08532,1,1,0.01257,0.00140295,0.00140295,0.00140295
10,259.232,0.09724,0.99213,1,0.02509,0.00136994,0.00136994,0.00136994
11,283.755,0.11485,0.98425,1,0.03891,0.00133693,0.00133693,0.00133693
12,308.385,0.06549,0.99606,1,0.01114,0.00130393,0.00130393,0.00130393
13,333.587,0.07742,0.98819,1,0.03211,0.00127092,0.00127092,0.00127092
14,358.152,0.05715,0.99606,1,0.01592,0.00123791,0.00123791,0.00123791
15,382.621,0.06064,1,1,0.01276,0.00120491,0.00120491,0.00120491
16,407.357,0.04635,0.99213,1,0.02486,0.0011719,0.0011719,0.0011719
17,431.788,0.04107,1,1,0.00282,0.00113889,0.00113889,0.00113889
18,456.303,0.03868,0.98425,1,0.02654,0.00110589,0.00110589,0.00110589
19,480.767,0.06087,0.99213,1,0.0132,0.00107288,0.00107288,0.00107288
20,505.345,0.0482,0.97244,1,0.0654,0.00103987,0.00103987,0.00103987
21,529.861,0.04544,0.97638,1,0.0509,0.00100687,0.00100687,0.00100687
22,554.335,0.05547,1,1,0.00506,0.000973861,0.000973861,0.000973861
23,578.704,0.07185,0.99213,1,0.0246,0.000940855,0.000940855,0.000940855
24,603.126,0.05837,0.99606,1,0.01651,0.000907848,0.000907848,0.000907848
25,628.125,0.04734,0.99606,1,0.01876,0.000874842,0.000874842,0.000874842
26,652.946,0.07299,0.99606,1,0.01071,0.000841835,0.000841835,0.000841835
27,677.472,0.0435,1,1,0.01251,0.000808828,0.000808828,0.000808828
28,702.077,0.0423,0.99213,1,0.02055,0.000775822,0.000775822,0.000775822
29,726.75,0.03027,0.99606,1,0.00827,0.000742815,0.000742815,0.000742815
30,751.344,0.02259,1,1,0.00727,0.000709809,0.000709809,0.000709809
31,775.886,0.02141,1,1,0.0046,0.000676802,0.000676802,0.000676802
32,800.385,0.03272,1,1,0.00161,0.000643795,0.000643795,0.000643795
33,825.172,0.07469,1,1,0.00733,0.000610789,0.000610789,0.000610789
34,849.79,0.0317,0.99606,1,0.00583,0.000577782,0.000577782,0.000577782
35,874.238,0.03255,1,1,0.00677,0.000544776,0.000544776,0.000544776
36,898.734,0.03014,1,1,0.00201,0.000511769,0.000511769,0.000511769
37,923.149,0.06641,0.99606,1,0.00741,0.000478762,0.000478762,0.000478762
38,947.618,0.01607,0.99606,1,0.00878,0.000445756,0.000445756,0.000445756
39,972.244,0.01903,1,1,0.00237,0.000412749,0.000412749,0.000412749
40,996.746,0.01454,0.99606,1,0.01223,0.000379743,0.000379743,0.000379743
41,1021.38,0.00933,1,1,0.00646,0.000346736,0.000346736,0.000346736
42,1045.91,0.04629,1,1,0.0027,0.000313729,0.000313729,0.000313729
43,1070.4,0.01419,1,1,0.00202,0.000280723,0.000280723,0.000280723
44,1094.83,0.02014,1,1,0.00145,0.000247716,0.000247716,0.000247716
45,1119.39,0.02636,1,1,0.00184,0.00021471,0.00021471,0.00021471
46,1143.92,0.015,0.99606,1,0.00916,0.000181703,0.000181703,0.000181703
47,1168.46,0.01306,1,1,0.00177,0.000148696,0.000148696,0.000148696
48,1192.97,0.02188,1,1,0.00142,0.00011569,0.00011569,0.00011569
49,1217.42,0.00868,1,1,0.0043,8.26832e-05,8.26832e-05,8.26832e-05
50,1242.21,0.03453,1,1,0.00299,4.96766e-05,4.96766e-05,4.96766e-05
